salesanalysis,Design,Category_Code,VOCNO
1,DIAMOND EARRING,ER,178
1,DIAMOND PENDANT,PN,178
1,DIAMOND RING,RN,178
1,DIAMOND EARRING,ER,230
1,DIAMOND PENDANT,PN,230
1,DIAMOND BRACELET,BR,259
1,DIAMOND BRACELET,BR,259
1,DIAMOND ANKLET,AN,259
1,DIAMOND BRACELET,BR,259
1,DIAMOND EARRING,ER,231
1,DIAMOND EARRING,ER,231
1,GOLD EARRING,ER,267
1,DIAMOND RING,RN,226
1,DIAMOND PENDANT,PN,245
1,DIAMOND ANKLET,AN,245
1,DIAMOND CHOKER NECKLACE,NK,245
1,DIAMOND EARRING,ER,245
1,DIAMOND RING,RN,257
1,DIAMOND RING,RN,257
1,DIAMOND PENDANT,PN,266
1,DIAMOND RING,RN,277
1,DIAMOND EARRING,ER,279
1,GOLD EARRING,,285
1,DIAMOND PENDANT,PN,12
1,DIAMOND PENDANT,PN,225
1,DIAMOND,NK,95
1,DIAMOND ANKLET,AN,10
1,GOLD BRACELET WITH COLOR STONE AND PEARL,BT,64
1,GOLD NECKLACE WITH COLOR STONE,NK,64
1,DIAMOND BRACELET,BT,65
1,DIAMOND BRACELET,BT,6
1,DIAMOND BRACELET,BT,7
1,DIAMOND BRACELET,BT,62
1,DIAMOND RING,RN,26
1,DIAMOND EARRING,ER,26
1,DIAMOND PENDANT,PN,26
1,,,19
1,DIAMOND NECKLACE,NK,15
1,DIAMOND NECKLACE,NK,15
1,DIAMOND RING,RN,29
1,DIAMOND BRACELET,BT,5
1,DIAMOND RING,RN,5
1,DIAMOND BRACELET,BT,4
1,DIAMOND NECKLACE,NK,6
1,DIAMOND RING,RN,31
1,DIAMOND,PN,44
1,DIAMOND ANKLET,AN,44
1,DIAMOND CHOKER NECKLACE,NK,44
1,DIAMOND BRACELET,BT,52
